,State,Region,Cigarette Use.Adult.Smokers,Cigarette Use.Adult.Tried to Quit,Social Determinants.Consumed 1 or More Fruits per Day,Social Determinants.Consumed 1 or More Vegetables per Day,Social Determinants.Had a Mammogram in Past 2 Years,Social Determinants.Healthy Weight (BMI 18.5 to <25),Social Determinants.No Leisure Time Physical Activity,Social Determinants.Received at Least One Recommended CRC Test,State Demographics.Population,State Demographics.Population.65 and Older,State Demographics.Population.18 and Younger,State Demographics.Education.Bachelor's Degree or Higher,State Demographics.Employment.Firms.Total,State Demographics.Ethnicities.Black,State Demographics.Ethnicities.Hispanic,State Demographics.Ethnicities.White,State Demographics.Housing.Households with Internet,State Demographics.Income.Median Houseold Income,State Demographics.Income.Per Capita Income,State Demographics.Income.Persons Below Poverty Level,State Demographics.Miscellaneous.Language Other than English at Home,State Demographics.Miscellaneous.Under 65 Years Witout Health Insurance,State Demographics.Miscellaneous.Under 66 Years With a Disability,State Demographics.Sales.Accommodation and Food Services Sales,State Demographics.Sales.Retail Sales,Cancer Death Rate.Total,Cancer Death Rate.Breast,Cancer Death Rate.Colorectal,Cancer Death Rate.Lung
37,Oregon,West,96.50537989680113,49.40343467564858,622.9998848311266,835.9999962239714,684.9999150393556,299.00010761681614,194.0000792966014,653.9998999352412,4237256,182.00009628873025,204.99988671914087,336.99993580751317,80.07658730083809,22.00008684865866,133.9999282554559,867.0000113280859,859.0000226561718,14.825160434016732,7.968128430286015,113.99995657567067,153.9998999352411,85.99999622397137,98.99991881538429,1998.1771221752945,11677.617307049657,1.991,0.262,0.177,0.538
38,Pennsylvania,Mid-Atlantic,113.00253024371861,62.446184254039544,607.0000076907104,805.9999846185792,700.0,0.0,0.0,668.9999769278688,13002700,187.0000076907104,205.99998461857922,314.0000153814208,75.01926522952925,120.0,78.00003076284156,815.9999846185792,814.999961546448,4.748552223768909,2.6419128334884294,120.0,114.00001538142078,70.0,98.00003076284156,1807.6393364455075,13750.60141355257,2.277,0.318,0.216,0.613
39,Rhode Island,Northeast,85.84363287433057,56.9812252649267,651.0002469520558,807.0001339555431,783.999876068341,306.99967832444395,263.9999489693169,743.000367238666,1097379,176.99992436523755,192.99986604445684,342.00034810215976,86.24367697942097,84.99980407862735,163.00020321147025,836.0001421569029,839.9996719456086,61.20674807883147,32.91570186781413,108.00006196582949,224.00009477126864,47.999825037657914,97.00021596914101,2261.1276505200117,10993.344140903006,2.112,0.265,0.187,0.607
40,South Carolina,Southeast,108.71371564494937,76.97309230866917,579.9999023137,797.000053727465,729.000034190205,272.00007814904,263.00004395883496,706.999907198015,5118425,181.99993161959,216.00003907452,280.999916966645,71.84358469646425,270.00004884315,60.00009768629999,686.0000879176699,781.99993161959,10.393626945788988,5.749034126708899,138.00006838041,72.00007814904,131.99998046274,101.99993161959001,1907.5825082911247,11349.941437063158,2.026,0.276,0.178,0.601
41,South Dakota,Midwest,105.70146402200601,68.81613954280468,566.0005390975417,808.000072180424,719.0004815787663,271.00027406004733,256.9995274437867,655.0001296991993,886667,172.00031127807847,244.99953195506316,287.99989172936404,91.70748432049461,22.999615413678416,41.999984210532254,845.9996819550067,806.9996966166555,65.72365950238364,34.70637792993311,118.99957932346642,64.00035187956696,121.99957819564729,80.99996954888363,2113.193566468584,15554.686257636746,1.962,0.27,0.196,0.524
42,Tennessee,Southeast,135.31046877080067,69.13182767941379,539.0000347280504,803.0000694561008,694.0000057880084,270.000028940042,259.99994211991594,642.9999826359748,6910840,166.99995948394118,221.00005209207563,272.9999536959328,79.65066475276522,171.00005209207563,57.00001736402521,784.0000636680925,784.0000636680925,7.715415202782874,4.320603573516388,139.00003472805042,71.99993054389915,121.00005209207563,109.99994211991596,1808.6098072014402,13260.559497832392,2.131,0.273,0.195,0.685
43,Texas,Southwest,80.97173131843144,51.43338569703973,594.0000010293182,758.9999898783706,669.9999879912872,277.0000039457199,277.99998661886286,613.9999975982574,29145505,128.99999502496183,255.0000077198868,299.00000017155304,80.8614570239905,128.99999502496183,396.99998335935504,786.9999850748854,819.0000138957963,2.122934565724629,1.0731328896171124,136.0000109793946,354.9999905645828,207.99999862757568,79.00000360261384,1869.2697553190449,12218.569415764112,1.458,0.21,0.138,0.381
44,Utah,Mountain-Plains,46.42231851170798,30.87801257849332,623.0000709129678,800.0000611318687,644.99990218901,314.99998777362623,162.00006357714352,652.0001124826385,3271616,113.99993153230697,290.0001100373638,339.9998655098887,76.84856657994092,14.999926641757467,144.0000904751658,905.999970656703,875.0,21.891627868307282,9.10100696414249,89.00005379604453,154.00004156967077,108.00014427121032,68.00003423384652,1463.8884881355268,11622.539442281735,0.985,0.174,0.09,0.156
45,Vermont,Northeast,96.58096930849649,52.46650090113626,660.0002799042727,861.9994184211222,663.9998009569616,337.99995956938284,203.00057380375912,696.0006344496849,643077,199.99937799050502,182.9998584928399,379.99959569382827,117.91278493866209,13.99987870814848,20.000715310919222,942.0007246410617,815.0003809808156,96.36948608020501,53.76805576937132,102.00022703346566,57.999275358938355,55.99951483259392,105.99974808615454,2432.4800918086016,15447.218606792032,2.116,0.258,0.184,0.602
46,Virginia,Mid-Atlantic,88.11347137130704,56.27654771367727,603.9999569015106,819.0000154088685,715.9999550478121,289.0000490071533,223.00004182407173,702.9999676761329,8631393,158.9999435780528,218.00003776910634,387.99994392562127,75.67642905380394,198.99997601777605,98.00005630609104,694.0000298908878,839.0000316287302,8.599075491059207,4.550598032090533,99.00001077462235,162.99999316448688,93.00005225112562,79.99994902329207,2061.7646537470837,12744.453299716512,1.771,0.261,0.156,0.498
47,Washington,West,73.30401058702466,44.53348294500876,639.0000572334741,810.0000506146368,669.0000014275923,319.0000468509844,181.0000180395757,676.0000057103692,7705281,159.0000416597396,217.99996651647098,359.99997923502076,70.2793317985418,43.99995275967223,130.00006099712652,785.000053859165,882.9999840369222,9.574602146242299,5.050432294422488,98.00005995887756,196.99995366814008,77.00004711054665,86.99994198783925,1855.516755326639,15434.096303561155,1.759,0.237,0.149,0.468
48,West Virginia,Mid-Atlantic,158.52788289785005,84.35783591159358,540.0002007006683,811.0001806306014,702.999805989354,237.99977253924254,319.9999330997772,681.0002252307501,1793716,205.00012265040843,201.00004683015595,205.9997234790792,63.79772494642407,36.000124880415854,16.999904109680685,934.999743549146,759.999910799703,26.041469218092494,14.762649159621702,160.00024530081686,26.00021408071289,82.99976138920543,139.99986619955445,2250.263140876259,12620.684099378052,2.546,0.308,0.244,0.813
49,Wisconsin,Midwest,102.93247827602202,59.41427804995081,611.9999294163719,799.0000539557542,729.9999762458943,272.9999976245894,267.9999280589943,718.9999589393317,5893718,175.0000593852641,218.00008076395918,300.9999799786824,73.46466186539634,66.99998201474858,71.00000373278803,870.0000576885423,824.9999406147359,10.47674829369169,5.662809113025089,104.00005565247608,86.99992093276265,68.00002986230423,79.99992534423941,1748.175939194919,13268.673865970513,1.975,0.263,0.17,0.519
50,Wyoming,Mountain-Plains,112.87316828782475,70.07008742292204,567.0008373046072,808.9992043005906,594.9994019252805,274.9999566612522,262.0000658748966,599.0004351210277,576851,171.0008303704076,231.00072635741293,273.99969836231537,108.22032032535265,12.999890786355575,101.00008494394567,924.9996966287655,834.0004611242765,111.03213828180934,57.84162634718498,101.00008494394567,74.0000450722977,148.0000901445954,89.0004524565269,2851.419170635051,16375.187006696704,1.679,0.235,0.16100000000000003,0.415
